Jaka cywilizacja wybudowała piramidy:.,Mezopotamia.,Grecja.,Egipt x
"Jak nazywała się dynastia, która rządziła w Hiszpanii i Austrii w XVII wieku. ",Capetów.,Osmanów.,Habsburgów x
Jak nazywał się pierwszy Car:.,Piotr Wielki.,Caryca Katarzyna.,Iwan Groźny x
"Jak nazywał się ostatni król z dynasii Jagielonów, który rządził w Polsce:.",Zygmunt Stary.,Zygmunt August x .,Kazimierz IV Jagiellończyk
Kto był pierwszym królem elekcyjnym.,Henryk Walezy x.,Stefan Batory .,Jan Sobieski
Kto zapoczątkował reformacje.,Marcin Luter x.,Jan Kalwin .,Huldrych Zwingli
Na teranch jakiego Państwa odbywała wojny 30-letniej.,Hiszpania.,I Rzeczpospolita .,Święte Cesarstwo Rzymskie x
Która unia doprowadziła do utworzenia Rzeczpospolitej Obojga Narodów.,Unia w Krewie.,Unia Lubelska x .,Unia krakowsko-wileńska
Który król przyczynił się do powstania Anglikanizmu.,Edward VI Tudora.,Henryk VIII Tudor x.,Klemens VII
"Jak nazywał się przywódca Imperium Osmańskiego, który otrzymał przydomek wielki.",Sulejman x.,Mehmed.,Selim
Kto odkrył Amerykę .,Magellan.,Kolubm x.,Vasco da Gama
Kto podbił tereny Ameryki Południowej w XVI wieku.,Portugalia.,Anglia.,Hiszpania x
"Kolonie, którego Państwa się zbutnowały tworząc Stany Zjednoczone: .",Francji.,Angli x.,Hiszpanii
Kto odkrył szlak morski do Indii.,Bartolomeu Dias.,Vasco da Gama x.,Magellan
Jakie Państwo zdobyło pełną władze na terenami Indii .,Anglia x.,Francja.,Imperium Osmańskie
Kolonie w dzisiejszej Brazylii zostały założone przez:.,Włochów.,Hiszpanów.,Portuglczyków x
Które Państwo skolonizowało tereny dzisejszej Indonejii .,Holandia x.,Hiszpania.,Anglia
Kto założył Quebec.,Anglicy.,Amerykanie.,Francuzi x
W którym wieku Niemcy zaczeły zakładać większe kolonie: .,XIV.,XIX x.,XVIII
"Jak nazywał się Cesarz Francji, który urodził się na Korsyce.",Napoleon x.,Henryk.,Adam
"Jak nazywała sie bitwa, która zakończyła 100 dni Napleona.",Bitwa pod Waterloo x.,Bitwa pod Lipskiem.,Bitwa pod Borodino
Które Państwo nie było w pierwszej koalicji .,Rosja x.,Anglia.,Prusy
Jak nazywało sie Państwo utworzone na teranch byłej Rzeczpospolitej .,Księstwo Warszawskie x.,II Rzeczpospolita.,Rzeczpospolita Obojga Narodów
Która bitwa została nazwana bitwą narodów .,Bitwa pod Lipskiem x.,Bitwa pod Austerlitz.,Bitwa pod Waterloo
"Ile ludzi liczyła Wielka Armia, która uczestniczyła w kampanii rosyjskiej. ",600 tysięcy x.,1.2 miliona.,300 tysięcy
Jakie ziemie Francja sprzedała Amerykanom w 1803 roku.,Kalifornie.,Luizjane x.,Floryde
W jakiej bitwie zginął Horatio Nelson.,Bitwa nad Nilem.,Bitwa pod Trafalgarem x.,Bitwa w kanale La Manche
Na jaka wyspę został zesłany Napoleon po swojej ostatniej kampanii .,Elba.,Wyspa św. Heleny x .,Wyspa Świętego Wawrzyńca
W którym roku wybychła pierwsza Wojna Światowa : .,1914 x.,1918,1939
Czym rozpoczeła się pierwsz Wojna Światowa  :.,Atakiem Francji na Niemcy.,Atakiem Austro-Węgier na Serbie x.,Atakiem Niemiec na Rosję
Jak nazywał się traktat pokojowy z Niemcami.,Traktat Londyński.,Traktat Wersalski x.,Traktat Paryski
Która bitwa miałą doprowadzic do zajęcia cieśnin śródziemnomorskich: .,Bitwa o Galipoli x.,Bitwa o Stambuł.,Bitwa o Edirne
W jakiej bitwie użyto pierwszy raz czołgi : .,Bitwa nad Sommą x.,Bitwa nad rzeką Marną .,Bitwa pod Verdun
Jak nazywał sie traktak pokojowy między Państwami Centralnymi a Austrią .,Traktat brzeski x.,Traktat wersalski.,Trakat ryski
Jakie Państwo zajeło Niemieckie Wyspy na Pacyfiku .,Japonia x.,Stany Zjednoczone.,Chiny
Jak nazywał się ostatni Car Rosji.,Mikołaj x.,Piotr.,Iwan
Jak nazywa się telegram wysłany przez Niemcy do Meksyku.,Telegram Zimmermanna x.,Telegram Hessa.,Telegram Hohenzolera
W którym roku wybuchła II Wojna Światowa: .,1945,1940,1939 x
Jak nazywał sie przywódca III Rzeszy:.,Adolf Hitler x.,Benito Mussolini.,Heinrich Himmler
Na czym polegał Blitzkrieg:.,Błyskawiczne uderznie wojsk na dany kraj x.,Stopniowe powolne atakowanie głównie piechotą.,Wojna partyzancka
Jak nazywała się operacja przeporwadzona w 1941 na teranach ZSRR.,Operacja Barbarossa x.,Operacja Fall Blau.,Operacja Sonnenblume
Co przyczyniło się ostatecznie do włączenia się do wojny Stanów Zjednoczonych.,Atak na Peral Harbor x.,Zajęcie Francji przez III Rzeszę.,Wygrana kampania w Polsce
Jak nazywał się Cesarz Japończyków:.,Hirohito x.,Akihito.,Naruhito
Która bitwa była punktem zwrotym w wojnie na pacyfiku.,Bitwa o Midway x .,Atak na Peral Harbor .,Bitwa o jawę
Kto został kanclerzem niemiec po śmierci Adolfa Hitlera.,Joseph Goebells x .,Joseph Bratan .,Alberto Simao
Jaki środek odurzający był stosowany w armi ZSRR.,Kokaina.,Alkohol x.,Metaamfetamina
Jak nazywał się pakt obronny bloku komunistycznego.,NATO.,Pakt trzech.,Układ Warszawski x
Który prezydent USA został zamordowany w 1963 roku.,John F. Kennedy x.,Dwight Eisenhower .,Lyndon B. Johnson
"ak nazywała partia, która rządziła w Polsce.",Polska Zjednoczona Partia Robotnicza x.,Polska zrównana Partia Robotników.,Polska Związkowa Partia Robotnicza
"Jak nazywał się przywódca ZSRR, który rządził po Stalinie  .",Nikita Chruszczow X.,Leonid Breżniew.,Jurij Andropow
W którym roku zburzono Mur Berliński.,1990,1989 x  .,1988
"Kto był pierszym człowiekiem, który znalazł się w przestrzeni kosmicznej.",Jurij Gagarin x.,Neil Armstrong .,Edward Higgins
W którym roku człowiek wylądował na księżycu .,1969 x .,1967,1971
Jak nazywała się najmocniejsza bomba atomowa jaka została zdetonowana .,Fat Man.,Tzar Bomba x.,Super hiper bomba 3000
W którym roku Krym został przyłączony do Ukrainy .,1954 x.,1964,1956
W którym roku wybrano Lecha Wałęse na prezydenta RP: .,1990 x.,1991,1989
Na jakim obszarze miała miejsce operacja Sandstorm: .,Kuwejt x .,Iran.,Syria
W którym roku Federacja Rosyjska zaanektowała Krym:.,2014 x .,2022,1991
W którym roku miała miejsce Katastrofa Smoleńska .,2009,2010 x .,2011
W którym roku prezydentem RP został Andrzej Dudu .,2016,2015 x  .,2014
W jakim miescie zapoczątkowała się pandemia COVID-19:.,Wuhan x .,Pekin.,Szanghaj
W którym roku Wielka Brytania zwróciła Chinom Hong Kong.,1996,1997 X .,1998
W którym roku Rosja uznała seperatystyczne republiki Doniecka oraz Ługańska.,2014,2022,2019
W jakim mieście odbyło się spotkanie przywódców USA i Korei Północnej w 2018 roku?.,Singapur x .,Hong Kong.,Hanoi
